date,value
2011-10-05,0.7084
2011-10-06,0.7056
2011-10-07,0.6888
2011-10-10,0.7058
2011-10-11,0.6985
2011-10-12,0.6984
2011-10-13,0.6922
2011-10-14,0.6847
2011-10-17,0.6806
2011-10-18,0.6717
2011-10-19,0.6485
2011-10-20,0.6375
2011-10-21,0.6242
2011-10-24,0.5918
2011-10-25,0.5614
2011-10-26,0.5306
2011-10-27,0.6312
2011-10-28,0.6162
2011-10-31,0.6583
2011-11-01,0.684
2011-11-02,0.6765
2011-11-03,0.6638
2011-11-04,0.6151
2011-11-07,0.6316
2011-11-08,0.633
2011-11-09,0.7057
2011-11-10,0.693
2011-11-11,0.6928
2011-11-14,0.6868
2011-11-15,0.6716
2011-11-16,0.6545
2011-11-17,0.6376
2011-11-18,0.6274
2011-11-21,0.6488
2011-11-22,0.6185
2011-11-23,0.6412
2011-11-25,0.6079
2011-11-28,0.6022
2011-11-29,0.5906
2011-11-30,0.5775
2011-12-01,0.5536
2011-12-02,0.5304
2011-12-05,0.4995
2011-12-06,0.4717
2011-12-07,0.4597
2011-12-08,0.4421
2011-12-09,0.449
2011-12-12,0.4752
2011-12-13,0.4896
2011-12-14,0.5141
2011-12-15,0.5154
2011-12-16,0.5028
2011-12-19,0.4866
2011-12-20,0.4793
2011-12-21,0.4621
2011-12-22,0.4406
2011-12-23,0.4167
2011-12-27,0.3817
2011-12-28,0.3569
2011-12-29,0.3684
2011-12-30,0.3456
2012-01-03,0.3532
2012-01-04,0.3496
2012-01-05,0.3796
2012-01-06,0.3806
2012-01-09,0.3772
2012-01-10,0.3793
2012-01-11,0.3712
2012-01-12,0.3626
2012-01-13,0.4072
2012-01-17,0.4299
2012-01-18,0.424
2012-01-19,0.4417
2012-01-20,0.4734
2012-01-23,0.4931
2012-01-24,0.4894
2012-01-25,0.4841
2012-01-26,0.4836
2012-01-27,0.4992
2012-01-30,0.5307
2012-01-31,0.5219
2012-02-01,0.5238
2012-02-02,0.491
2012-02-03,0.4754
2012-02-06,0.4284
2012-02-07,0.4479
2012-02-08,0.4427
2012-02-09,0.4242
2012-02-10,0.4317
2012-02-13,0.3993
2012-02-14,0.368
2012-02-15,0.3443
2012-02-16,0.3315
2012-02-17,0.3218
2012-02-21,0.2895
2012-02-22,0.2854
2012-02-23,0.2696
2012-02-24,0.2651
2012-02-27,0.2589
2012-02-28,0.2482
2012-02-29,0.2424
2012-03-01,0.2589
2012-03-02,0.2732
2012-03-05,0.2729
2012-03-06,0.3245
2012-03-07,0.3253
2012-03-08,0.3413
2012-03-09,0.3483
2012-03-12,0.3422
2012-03-13,0.3452
2012-03-14,0.3615
2012-03-15,0.3597
2012-03-16,0.3633
2012-03-19,0.3567
2012-03-20,0.3391
2012-03-21,0.3154
2012-03-22,0.3327
2012-03-23,0.3203
2012-03-26,0.3277
2012-03-27,0.3147
2012-03-28,0.3203
2012-03-29,0.3228
2012-03-30,0.3239
2012-04-02,0.3248
2012-04-03,0.3185
2012-04-04,0.3223
2012-04-05,0.316
2012-04-09,0.2932
2012-04-10,0.3414
2012-04-11,0.3444
2012-04-12,0.336
2012-04-13,0.3374
2012-04-16,0.3247
2012-04-17,0.3206
2012-04-18,0.3048
2012-04-19,0.3005
2012-04-20,0.2792
2012-04-23,0.2859
2012-04-24,0.2901
2012-04-25,0.2985
2012-04-26,0.2999
2012-04-27,0.2893
2012-04-30,0.2854
2012-05-01,0.2805
2012-05-02,0.2716
2012-05-03,0.2702
2012-05-04,0.2679
2012-05-07,0.2602
2012-05-08,0.2702
2012-05-09,0.2575
2012-05-10,0.256
2012-05-11,0.2483
2012-05-14,0.2424
2012-05-15,0.2409
2012-05-16,0.2443
2012-05-17,0.2453
2012-05-18,0.2435
2012-05-21,0.2439
2012-05-22,0.2287
2012-05-23,0.2747
2012-05-24,0.2948
2012-05-25,0.2938
2012-05-29,0.2732
2012-05-30,0.3028
2012-05-31,0.3281
2012-06-01,0.3335
2012-06-04,0.3501
2012-06-05,0.3495
2012-06-06,0.3836
2012-06-07,0.3775
2012-06-08,0.3781
2012-06-11,0.3597
2012-06-12,0.3627
2012-06-13,0.3445
2012-06-14,0.3405
2012-06-15,0.3598
2012-06-18,0.3571
2012-06-19,0.3636
2012-06-20,0.3664
2012-06-21,0.3459
2012-06-22,0.3489
2012-06-25,0.3961
2012-06-26,0.4042
2012-06-27,0.3975
2012-06-28,0.3907
2012-06-29,0.4372
2012-07-02,0.4486
2012-07-03,0.4398
2012-07-05,0.435
2012-07-06,0.429
2012-07-09,0.4372
2012-07-10,0.4468
2012-07-11,0.4427
2012-07-12,0.4374
2012-07-13,0.4258
2012-07-16,0.4072
2012-07-17,0.3834
2012-07-18,0.3671
2012-07-19,0.3451
2012-07-20,0.38
2012-07-23,0.3773
2012-07-24,0.3758
2012-07-25,0.3638
2012-07-26,0.3868
2012-07-27,0.3908
2012-07-30,0.3794
2012-07-31,0.366
2012-08-01,0.3521
2012-08-02,0.3538
2012-08-03,0.4021
2012-08-06,0.404
2012-08-07,0.3972
2012-08-08,0.3921
2012-08-09,0.376
2012-08-10,0.3677
2012-08-13,0.3398
2012-08-14,0.3149
2012-08-15,0.2916
2012-08-16,0.2816
2012-08-17,0.2611
2012-08-20,0.2422
2012-08-21,0.2229
2012-08-22,0.2274
2012-08-23,0.2265
2012-08-24,0.2179
