date,sentiment_mean,sentiment_std,sentiment_count,ciss_mean,ciss_max,ciss_min,realized_vol
2010-09-26,-0.35237229307425144,0.08760224860150183,5,0.42604,0.4469,0.3948,0.20352968065463647
2010-10-03,-0.35825759836790116,0.07558832163796714,5,0.3862,0.4294,0.3195,0.06355079979627681
2010-10-10,-0.3749755997232704,0.1327395087662344,5,0.34714,0.3627,0.3304,0.16477887596074456
2010-10-17,-0.36509475294483085,0.07613453467170729,5,0.29194,0.3038,0.2849,0.0665143603205111
2010-10-24,-0.40152522709792066,0.10656717003680696,5,0.2831,0.298,0.2734,0.1362974956482536
2010-10-31,-0.36721996929679623,0.11702586743620973,5,0.23934000000000002,0.2634,0.2058,0.03301384788533895
2010-11-07,-0.374268468794303,0.09274261721238469,5,0.20682,0.2289,0.1999,0.11515052398037555
2010-11-14,-0.31522414461622156,0.03301191493721644,5,0.24100000000000002,0.2528,0.2299,0.09446486743819732
2010-11-21,-0.392095552095288,0.05259934898830533,5,0.27014,0.2906,0.2454,0.17202647697352036
2010-11-28,-0.33447498825721333,0.0737131500507704,4,0.34985,0.3773,0.2875,0.21037251268407314
2010-12-05,-0.28157890501153193,0.07452848427017335,5,0.45082000000000005,0.4832,0.3903,0.16341982514812547
2010-12-12,-0.3292024157874819,0.05287682758965166,5,0.4487,0.4685,0.4264,0.043846976785451616
2010-12-19,-0.3818987616202395,0.07194106300105985,5,0.39211999999999997,0.4288,0.348,0.06766117374607479
2010-12-26,-0.29161240877538774,0.08624510449259468,4,0.30835,0.3476,0.2601,0.050524575771083685
2011-01-02,-0.3664157569256497,0.05659740360341953,5,0.19492,0.2138,0.1834,0.017779356534530322
2011-01-09,-0.2777962508233407,0.1143716141425795,5,0.18375999999999998,0.1906,0.1785,0.08566809506255432
2011-01-16,-0.33386285842415675,0.09628651827037245,5,0.24741999999999997,0.2966,0.1911,0.07647571261748723
2011-01-23,-0.29580411244229754,0.10740380486562649,4,0.29195,0.3051,0.2789,0.08878172568138429
2011-01-30,-0.3857663807704404,0.06560066134284552,5,0.2366,0.2596,0.2156,0.15031887978579578
2011-02-06,-0.3262988944005284,0.07865783174755683,5,0.2453,0.2581,0.2252,0.10778946939052228
2011-02-13,-0.3604603528283038,0.08460905636797439,5,0.19598,0.2209,0.1743,0.05946338499135029
2011-02-20,-0.4455721105392108,0.08863584678575348,5,0.14548,0.169,0.1296,0.05386985001078027
2011-02-27,-0.37040311161604805,0.09640553590259672,4,0.097375,0.1018,0.0926,0.2038397645239981
2011-03-06,-0.3325781639007549,0.07291746000987928,5,0.08684,0.0939,0.081,0.20597099288449264
2011-03-13,-0.3762489733973366,0.06218962110012729,5,0.09738,0.1021,0.0897,0.1785402829642514
2011-03-20,-0.2919896661689801,0.13369707070365305,5,0.21578,0.3048,0.1032,0.1909098400602415
2011-03-27,-0.42593305617012056,0.07001370543198003,5,0.32594,0.3416,0.3139,0.11426719245043593
2011-04-03,-0.34985484722624466,0.14893810736952026,5,0.30278,0.3248,0.2827,0.07034472870211786
2011-04-10,-0.3387935936975789,0.04773831436691218,5,0.2552,0.2704,0.2368,0.04206918682850645
2011-04-17,-0.364552756743994,0.04928342289496789,5,0.22725999999999996,0.2387,0.217,0.067140618012791
2011-04-24,-0.36653412256046436,0.06702589215235454,4,0.3221,0.3494,0.2836,0.16556102342160242
2011-05-01,-0.38570044415356236,0.11104580629175403,5,0.29086,0.3035,0.2677,0.05934889002982139
2011-05-08,-0.35456197692451796,0.13688112760263302,5,0.24988000000000002,0.3053,0.2147,0.08223147055296404
2011-05-15,-0.46047299003815845,0.07388524564833368,5,0.31438,0.3285,0.2923,0.1330904714908835
