,regime,regime_id
2014-12-31,normal,1
2015-01-02,normal,1
2015-01-05,low_volatility,0
2015-01-06,elevated,2
2015-01-07,low_volatility,0
2015-01-08,elevated,2
2015-01-09,normal,1
2015-01-12,elevated,2
2015-01-13,normal,1
2015-01-14,elevated,2
2015-01-15,normal,1
2015-01-16,normal,1
2015-01-20,low_volatility,0
2015-01-21,low_volatility,0
2015-01-22,low_volatility,0
2015-01-23,normal,1
2015-01-26,normal,1
2015-01-27,normal,1
2015-01-28,low_volatility,0
2015-01-29,normal,1
2015-01-30,normal,1
2015-02-02,elevated,2
2015-02-03,normal,1
2015-02-04,normal,1
2015-02-05,normal,1
2015-02-06,normal,1
2015-02-09,low_volatility,0
2015-02-10,normal,1
2015-02-11,low_volatility,0
2015-02-12,normal,1
2015-02-13,elevated,2
2015-02-17,elevated,2
2015-02-18,normal,1
2015-02-19,normal,1
2015-02-20,low_volatility,0
2015-02-23,low_volatility,0
2015-02-24,low_volatility,0
2015-02-25,normal,1
2015-02-26,normal,1
2015-02-27,elevated,2
2015-03-02,elevated,2
2015-03-03,low_volatility,0
2015-03-04,normal,1
2015-03-05,low_volatility,0
2015-03-06,elevated,2
2015-03-09,elevated,2
2015-03-10,low_volatility,0
2015-03-11,low_volatility,0
2015-03-12,normal,1
2015-03-13,normal,1
2015-03-16,normal,1
2015-03-17,elevated,2
2015-03-18,elevated,2
2015-03-19,normal,1
2015-03-20,normal,1
2015-03-23,normal,1
2015-03-24,normal,1
2015-03-25,low_volatility,0
2015-03-26,normal,1
2015-03-27,normal,1
2015-03-30,normal,1
2015-03-31,normal,1
2015-04-01,low_volatility,0
2015-04-02,normal,1
2015-04-06,elevated,2
2015-04-07,normal,1
2015-04-08,normal,1
2015-04-09,low_volatility,0
2015-04-10,normal,1
2015-04-13,elevated,2
2015-04-14,normal,1
2015-04-15,low_volatility,0
2015-04-16,normal,1
2015-04-17,normal,1
2015-04-20,elevated,2
2015-04-21,normal,1
2015-04-22,normal,1
2015-04-23,normal,1
2015-04-24,normal,1
2015-04-27,normal,1
2015-04-28,normal,1
2015-04-29,normal,1
2015-04-30,normal,1
2015-05-01,elevated,2
2015-05-04,normal,1
2015-05-05,low_volatility,0
2015-05-06,normal,1
2015-05-07,normal,1
2015-05-08,normal,1
2015-05-11,normal,1
2015-05-12,elevated,2
2015-05-13,elevated,2
2015-05-14,normal,1
2015-05-15,normal,1
2015-05-18,normal,1
2015-05-19,low_volatility,0
2015-05-20,elevated,2
2015-05-21,elevated,2
2015-05-22,elevated,2
2015-05-26,normal,1
2015-05-27,normal,1
2015-05-28,low_volatility,0
2015-05-29,elevated,2
2015-06-01,normal,1
2015-06-02,normal,1
2015-06-03,normal,1
2015-06-04,low_volatility,0
2015-06-05,normal,1
2015-06-08,normal,1
2015-06-09,normal,1
2015-06-10,normal,1
2015-06-11,normal,1
2015-06-12,normal,1
2015-06-15,normal,1
2015-06-16,elevated,2
2015-06-17,low_volatility,0
2015-06-18,normal,1
2015-06-19,normal,1
2015-06-22,normal,1
2015-06-23,normal,1
2015-06-24,elevated,2
2015-06-25,normal,1
2015-06-26,normal,1
2015-06-29,normal,1
2015-06-30,normal,1
2015-07-01,normal,1
2015-07-02,normal,1
2015-07-06,low_volatility,0
2015-07-07,elevated,2
2015-07-08,elevated,2
2015-07-09,normal,1
2015-07-10,normal,1
2015-07-13,elevated,2
2015-07-14,normal,1
2015-07-15,low_volatility,0
2015-07-16,low_volatility,0
2015-07-17,low_volatility,0
2015-07-20,normal,1
2015-07-21,normal,1
2015-07-22,elevated,2
2015-07-23,low_volatility,0
2015-07-24,elevated,2
2015-07-27,normal,1
2015-07-28,normal,1
2015-07-29,normal,1
2015-07-30,normal,1
2015-07-31,elevated,2
2015-08-03,elevated,2
2015-08-04,elevated,2
2015-08-05,normal,1
2015-08-06,normal,1
2015-08-07,elevated,2
2015-08-10,normal,1
2015-08-11,low_volatility,0
2015-08-12,normal,1
2015-08-13,normal,1
2015-08-14,normal,1
2015-08-17,elevated,2
2015-08-18,elevated,2
2015-08-19,normal,1
2015-08-20,elevated,2
2015-08-21,elevated,2
2015-08-24,elevated,2
2015-08-25,elevated,2
2015-08-26,normal,1
2015-08-27,normal,1
2015-08-28,low_volatility,0
2015-08-31,normal,1
2015-09-01,normal,1
2015-09-02,normal,1
2015-09-03,normal,1
2015-09-04,elevated,2
2015-09-08,normal,1
2015-09-09,normal,1
2015-09-10,normal,1
2015-09-11,normal,1
2015-09-14,low_volatility,0
2015-09-15,normal,1
2015-09-16,normal,1
2015-09-17,normal,1
2015-09-18,normal,1
2015-09-21,elevated,2
2015-09-22,elevated,2
2015-09-23,normal,1
2015-09-24,normal,1
2015-09-25,elevated,2
2015-09-28,normal,1
2015-09-29,normal,1
2015-09-30,elevated,2
2015-10-01,normal,1
2015-10-02,normal,1
2015-10-05,elevated,2
2015-10-06,normal,1
2015-10-07,low_volatility,0
2015-10-08,low_volatility,0
2015-10-09,normal,1
2015-10-12,low_volatility,0
2015-10-13,normal,1
2015-10-14,elevated,2
2015-10-15,low_volatility,0
2015-10-16,normal,1
2015-10-19,normal,1
2015-10-20,normal,1
2015-10-21,low_volatility,0
2015-10-22,normal,1
2015-10-23,normal,1
2015-10-26,elevated,2
2015-10-27,normal,1
2015-10-28,elevated,2
2015-10-29,normal,1
2015-10-30,normal,1
2015-11-02,low_volatility,0
2015-11-03,elevated,2
2015-11-04,normal,1
2015-11-05,elevated,2
2015-11-06,normal,1
2015-11-09,normal,1
2015-11-10,normal,1
2015-11-11,elevated,2
2015-11-12,normal,1
2015-11-13,normal,1
2015-11-16,normal,1
2015-11-17,elevated,2
2015-11-18,normal,1
2015-11-19,normal,1
2015-11-20,normal,1
2015-11-23,elevated,2
2015-11-24,elevated,2
2015-11-25,normal,1
2015-11-27,normal,1
2015-11-30,low_volatility,0
2015-12-01,normal,1
2015-12-02,normal,1
2015-12-03,normal,1
2015-12-04,normal,1
2015-12-07,low_volatility,0
2015-12-08,normal,1
2015-12-09,elevated,2
2015-12-10,elevated,2
2015-12-11,elevated,2
2015-12-14,elevated,2
2015-12-15,normal,1
2015-12-16,normal,1
2015-12-17,normal,1
2015-12-18,normal,1
2015-12-21,elevated,2
2015-12-22,elevated,2
2015-12-23,normal,1
2015-12-24,normal,1
2015-12-28,normal,1
2015-12-29,low_volatility,0
2015-12-30,low_volatility,0
2015-12-31,normal,1
2016-01-04,elevated,2
2016-01-05,low_volatility,0
2016-01-06,elevated,2
2016-01-07,elevated,2
2016-01-08,elevated,2
2016-01-11,normal,1
2016-01-12,elevated,2
2016-01-13,low_volatility,0
2016-01-14,normal,1
2016-01-15,low_volatility,0
2016-01-19,normal,1
2016-01-20,normal,1
2016-01-21,normal,1
2016-01-22,normal,1
2016-01-25,normal,1
2016-01-26,normal,1
2016-01-27,normal,1
2016-01-28,normal,1
