,regime,from_regime,to_regime
2017-10-13,elevated,normal,elevated
2017-10-16,normal,elevated,normal
2017-10-17,low_volatility,normal,low_volatility
2017-10-19,elevated,low_volatility,elevated
2017-10-20,normal,elevated,normal
2017-10-23,elevated,normal,elevated
2017-10-25,low_volatility,elevated,low_volatility
2017-10-26,normal,low_volatility,normal
2017-10-30,elevated,normal,elevated
2017-10-31,normal,elevated,normal
2017-11-02,elevated,normal,elevated
2017-11-06,normal,elevated,normal
2017-11-13,elevated,normal,elevated
2017-11-14,normal,elevated,normal
2017-11-15,elevated,normal,elevated
2017-11-16,normal,elevated,normal
2017-11-20,low_volatility,normal,low_volatility
2017-11-21,normal,low_volatility,normal
2017-11-22,low_volatility,normal,low_volatility
2017-11-24,normal,low_volatility,normal
2017-11-27,low_volatility,normal,low_volatility
2017-11-28,normal,low_volatility,normal
2017-11-29,low_volatility,normal,low_volatility
2017-12-01,normal,low_volatility,normal
2017-12-04,elevated,normal,elevated
2017-12-05,normal,elevated,normal
2017-12-14,low_volatility,normal,low_volatility
2017-12-15,normal,low_volatility,normal
2017-12-18,low_volatility,normal,low_volatility
2017-12-19,normal,low_volatility,normal
2017-12-21,low_volatility,normal,low_volatility
2017-12-22,normal,low_volatility,normal
2017-12-26,low_volatility,normal,low_volatility
2017-12-28,normal,low_volatility,normal
2018-01-08,low_volatility,normal,low_volatility
2018-01-09,normal,low_volatility,normal
2018-02-05,elevated,normal,elevated
2018-02-06,normal,elevated,normal
2018-03-02,elevated,normal,elevated
2018-03-05,normal,elevated,normal
2018-03-09,low_volatility,normal,low_volatility
2018-03-12,normal,low_volatility,normal
2018-04-10,low_volatility,normal,low_volatility
2018-04-11,normal,low_volatility,normal
2018-04-27,low_volatility,normal,low_volatility
2018-04-30,normal,low_volatility,normal
2018-06-01,low_volatility,normal,low_volatility
2018-06-05,normal,low_volatility,normal
2018-06-07,low_volatility,normal,low_volatility
2018-06-08,normal,low_volatility,normal
2018-06-15,elevated,normal,elevated
2018-06-19,normal,elevated,normal
2018-06-21,elevated,normal,elevated
2018-06-22,normal,elevated,normal
2018-06-26,low_volatility,normal,low_volatility
2018-06-27,elevated,low_volatility,elevated
2018-06-29,normal,elevated,normal
2018-07-02,low_volatility,normal,low_volatility
2018-07-03,elevated,low_volatility,elevated
2018-07-05,low_volatility,elevated,low_volatility
2018-07-06,normal,low_volatility,normal
2018-07-13,elevated,normal,elevated
2018-07-16,normal,elevated,normal
2018-07-17,low_volatility,normal,low_volatility
2018-07-19,normal,low_volatility,normal
2018-07-24,elevated,normal,elevated
2018-07-25,low_volatility,elevated,low_volatility
2018-07-26,normal,low_volatility,normal
2018-07-27,low_volatility,normal,low_volatility
2018-07-30,normal,low_volatility,normal
2018-08-01,elevated,normal,elevated
2018-08-02,normal,elevated,normal
2018-08-03,low_volatility,normal,low_volatility
2018-08-06,normal,low_volatility,normal
2018-08-07,low_volatility,normal,low_volatility
2018-08-09,normal,low_volatility,normal
2018-08-10,elevated,normal,elevated
2018-08-14,low_volatility,elevated,low_volatility
2018-08-16,normal,low_volatility,normal
2018-08-20,low_volatility,normal,low_volatility
2018-08-21,normal,low_volatility,normal
2018-08-22,low_volatility,normal,low_volatility
2018-08-23,normal,low_volatility,normal
2018-08-29,elevated,normal,elevated
2018-08-30,low_volatility,elevated,low_volatility
2018-08-31,normal,low_volatility,normal
2018-09-05,elevated,normal,elevated
2018-09-06,low_volatility,elevated,low_volatility
2018-09-10,normal,low_volatility,normal
2018-09-12,low_volatility,normal,low_volatility
2018-09-13,elevated,low_volatility,elevated
2018-09-17,normal,elevated,normal
2018-09-21,low_volatility,normal,low_volatility
2018-09-24,normal,low_volatility,normal
2018-09-28,elevated,normal,elevated
2018-10-01,normal,elevated,normal
2018-10-02,elevated,normal,elevated
2018-10-03,normal,elevated,normal
2018-10-10,elevated,normal,elevated
2018-10-15,normal,elevated,normal
2018-10-16,elevated,normal,elevated
2018-10-18,low_volatility,elevated,low_volatility
2018-10-19,elevated,low_volatility,elevated
2018-10-22,normal,elevated,normal
2018-10-25,elevated,normal,elevated
2018-10-30,normal,elevated,normal
2018-10-31,elevated,normal,elevated
2018-11-01,normal,elevated,normal
2018-11-12,elevated,normal,elevated
2018-11-13,low_volatility,elevated,low_volatility
2018-11-14,normal,low_volatility,normal
2018-11-16,elevated,normal,elevated
2018-11-26,low_volatility,elevated,low_volatility
2018-11-28,elevated,low_volatility,elevated
2018-11-30,low_volatility,elevated,low_volatility
2018-12-04,elevated,low_volatility,elevated
2018-12-06,normal,elevated,normal
2018-12-07,elevated,normal,elevated
2018-12-11,low_volatility,elevated,low_volatility
2018-12-13,normal,low_volatility,normal
2018-12-14,elevated,normal,elevated
2018-12-21,normal,elevated,normal
2018-12-27,low_volatility,normal,low_volatility
2018-12-28,elevated,low_volatility,elevated
2019-01-02,normal,elevated,normal
2019-01-03,elevated,normal,elevated
2019-01-04,normal,elevated,normal
2019-01-08,low_volatility,normal,low_volatility
2019-01-09,normal,low_volatility,normal
2019-01-10,low_volatility,normal,low_volatility
2019-01-14,elevated,low_volatility,elevated
2019-01-16,normal,elevated,normal
2019-01-23,low_volatility,normal,low_volatility
2019-01-24,normal,low_volatility,normal
2019-01-28,elevated,normal,elevated
2019-01-29,normal,elevated,normal
2019-01-31,low_volatility,normal,low_volatility
2019-02-01,normal,low_volatility,normal
2019-02-06,elevated,normal,elevated
2019-02-07,low_volatility,elevated,low_volatility
2019-02-08,elevated,low_volatility,elevated
2019-02-11,normal,elevated,normal
2019-02-14,elevated,normal,elevated
2019-02-19,normal,elevated,normal
2019-02-22,low_volatility,normal,low_volatility
2019-02-25,normal,low_volatility,normal
2019-03-01,elevated,normal,elevated
2019-03-05,low_volatility,elevated,low_volatility
2019-03-06,elevated,low_volatility,elevated
2019-03-07,low_volatility,elevated,low_volatility
2019-03-14,normal,low_volatility,normal
2019-03-18,elevated,normal,elevated
2019-03-21,low_volatility,elevated,low_volatility
2019-03-22,elevated,low_volatility,elevated
2019-03-25,normal,elevated,normal
2019-03-26,low_volatility,normal,low_volatility
2019-03-27,normal,low_volatility,normal
2019-03-28,elevated,normal,elevated
2019-03-29,low_volatility,elevated,low_volatility
2019-04-02,normal,low_volatility,normal
2019-04-05,low_volatility,normal,low_volatility
2019-04-08,normal,low_volatility,normal
2019-04-09,low_volatility,normal,low_volatility
2019-04-11,normal,low_volatility,normal
2019-04-15,elevated,normal,elevated
2019-04-16,normal,elevated,normal
2019-04-17,low_volatility,normal,low_volatility
2019-04-24,normal,low_volatility,normal
2019-04-25,elevated,normal,elevated
2019-04-26,normal,elevated,normal
2019-04-30,elevated,normal,elevated
2019-05-01,normal,elevated,normal
2019-05-03,elevated,normal,elevated
2019-05-06,low_volatility,elevated,low_volatility
2019-05-07,normal,low_volatility,normal
2019-05-28,elevated,normal,elevated
2019-05-29,normal,elevated,normal
2019-05-31,elevated,normal,elevated
2019-06-04,normal,elevated,normal
2019-06-07,low_volatility,normal,low_volatility
2019-06-11,normal,low_volatility,normal
2019-06-14,elevated,normal,elevated
