,compound,positive,negative,cross_asset_std,sent_crypto,sent_equities,sent_forex,sent_news,sent_social,returns,realized_vol,vix,vix_change,ciss,ciss_change,te_proxy,sent_momentum,sent_acceleration,sent_dispersion,max_divergence,garch_vol,long_run_vol,regime
2007-11-08,-0.24006447,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.005070601803797481,0.18031089417091611,26.15999984741211,-0.01245752837136116,0.1163,0.0003999999999999976,0.31784530626952173,0.26584366000000004,0.87537657,0.43100485401736954,0.60953291,0.015842385555066126,0.008645789539509124,low_volatility
2007-11-09,-0.4000635,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.013725973910002187,0.18404141357943646,28.5,0.0894495476390218,0.1169,0.0006000000000000033,0.29117332832939785,-0.66698803,-0.7839073699999999,0.0826744581658555,0.11691933999999993,0.01476078286018627,0.008645789539509124,elevated
2007-11-12,-0.5494191,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.00992183129403923,0.18536273319654456,31.09000015258789,0.09087719833641716,0.1096,-0.007300000000000001,0.403256647840391,-0.06637558000000005,0.5622478899999999,0.4445039184500182,0.62862347,0.014806386890230243,0.008645789539509124,elevated
2007-11-13,0.4848386,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.030480005848300573,0.21656558759239364,24.100000381469727,-0.2248311269479465,0.1087,-0.000899999999999998,0.2978284920414119,0.13464102,-0.9321563199999999,0.7543396332657709,1.06679734,0.014303230320021978,0.008645789539509124,low_volatility
2007-11-14,-0.37726888,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.0027686504360967534,0.2155056210000947,25.940000534057617,0.07634855284079789,0.1146,0.005899999999999989,0.3127700425533396,-0.20875927999999996,-0.06244159199999996,0.10346222939233754,0.146317688,0.017752232914537674,0.008645789539509124,normal
2007-11-15,-0.30150428,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.014423982418113712,0.21870406287010336,28.059999465942383,0.08172701959282302,0.1256,0.010999999999999996,0.32859051011232066,-0.06143981000000001,-0.32728347,0.18797985472145096,0.26584366000000004,0.016370099290794523,0.008645789539509124,normal
2007-11-16,0.17286307,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.0017175201093602155,0.2183492327372768,25.489999771118164,-0.09158944204341612,0.1292,0.00360000000000002,0.3792829478158659,0.57292657,1.2399146,0.47163175898325643,0.6669880300000001,0.0162661869773569,0.008645789539509124,low_volatility
2007-11-19,-0.4776827,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.013924236738706908,0.22175836368566115,26.01000022888184,0.020400175066022097,0.1657,0.03649999999999998,0.4064862493179773,0.07173640000000003,0.13811198000000008,0.04693462272319021,0.06637558000000005,0.014950696744038643,0.008645789539509124,normal
2007-11-20,-0.30382657,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.006121465484317579,0.20766353619898678,24.8799991607666,-0.04344486959521321,0.1739,0.008200000000000013,0.4334071471201029,-0.78866517,-0.92330619,0.09520557826787357,0.13464102,0.014996850982918097,0.008645789539509124,elevated
2007-11-21,-0.4357411,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.020464356592574173,0.21549918524624884,26.84000015258789,0.07877817756971739,0.2129,0.03900000000000001,0.44205238953232084,-0.05847222000000002,0.15028705999999994,0.14761510252362117,0.20875927999999996,0.013948949694537685,0.008645789539509124,normal
2007-11-23,-0.53475827,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.01729232946868109,0.22311791694204963,25.61000061035156,-0.045827106380166516,0.2288,0.015899999999999997,0.4078479120542261,-0.23325398999999997,-0.17181417999999996,0.04344450628581306,0.06143981000000001,0.015466251256861385,0.008645789539509124,normal
2007-11-26,-0.4141345,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,-0.022063529989434172,0.2329564044989453,28.90999984741211,0.1288558827962969,0.2267,-0.0020999999999999908,0.48900364095851867,-0.5869975700000001,-1.1599241400000002,0.4051202627689493,0.5729265700000001,0.015674641903221737,0.008645789539509124,elevated
2007-11-27,-0.1958471,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.011493599101156216,0.23755769510969002,26.280000686645508,-0.09097195346412379,0.2255,-0.0012000000000000066,0.4621740302055934,0.2818356,0.21009919999999999,0.05072529489791067,0.07173640000000003,0.017133455737616897,0.008645789539509124,normal
2007-11-28,-0.13638757,0.0,0.0,0.0,0.0,0.0,-0.6943738,0.0,0.0,0.03198410493369752,0.2611032488837333,24.11000061035156,-0.08257229907138697,0.2357,0.010199999999999987,0.4173934048316835,0.167439,0.95610417,0.5576704897926413,0.78866517,0.01630407636400178,0.008645789539509124,low_volatility
