date,avg_sentiment,text_count,sentiment_volatility,sentiment_zscore,predicted_regime,vix_regime,vix_value,correct
2008-09-20,-0.29195531625300647,25,0.08562541957369732,-1.2946461604823676,elevated,unknown,,False
2008-09-21,-0.14375319611281157,25,0.08837163532454242,0.7136479710231913,normal,unknown,,False
2008-09-22,-0.09672248252627667,26,0.0975445089031148,1.2103945445675275,normal,elevated,33.849998474121094,False
2008-09-23,-0.1701275311214655,26,0.08900292543533668,0.24961223294600404,normal,high_volatility,35.720001220703125,False
2008-09-24,-0.2941110591170568,26,0.08948849962794411,-1.1540304374775463,high_volatility,high_volatility,35.189998626708984,True
2008-09-25,-0.12475007930054115,26,0.0765265856825367,0.9092430191638897,normal,elevated,32.81999969482422,False
2008-09-26,-0.12555106453440637,25,0.0782564787114063,0.7778261203856915,normal,elevated,34.7400016784668,False
2008-09-27,-0.014652845449745655,24,0.10079767644282034,1.758346089388435,normal,unknown,,False
2008-09-28,-0.17614939998835324,25,0.1011956362175379,-0.07964139621956133,elevated,unknown,,False
2008-09-29,-0.17400089042258554,26,0.06552599479428203,0.007460174825484534,normal,high_volatility,46.720001220703125,False
2008-09-30,-0.09516633255380968,26,0.06665671125324825,0.8578229900339611,normal,high_volatility,39.38999938964844,False
2008-10-01,-0.22653226461273224,26,0.08312069347689807,-0.7105880086658021,elevated,high_volatility,39.810001373291016,False
2008-10-02,0.0008038672475287548,26,0.08890835321702231,1.692769610054157,low_volatility,high_volatility,45.2599983215332,False
2008-10-03,-0.10524033862649923,26,0.08615879069721787,0.46361239525426745,normal,high_volatility,45.13999938964844,False
2008-10-04,-0.07779003634705037,25,0.08172034680201498,0.676453845811649,normal,unknown,,False
2008-10-05,-0.18550540221212888,24,0.0897588493703764,-0.6620823423819358,elevated,unknown,,False
2008-10-06,-0.19389221861390926,26,0.08069941010655375,-0.6735004868429795,normal,high_volatility,52.04999923706055,False
2008-10-07,-0.1415060933393946,26,0.0501313260342149,-0.042385489085038495,normal,high_volatility,53.68000030517578,False
2008-10-08,-0.08016017369496134,26,0.055540152728448526,0.6422947293109037,normal,high_volatility,57.529998779296875,False
2008-10-09,-0.15038315665216143,26,0.045101652550735595,-0.3840186067865265,normal,high_volatility,63.91999816894531,False
2008-10-10,-0.30177789966075225,26,0.08237319674212563,-2.0071987357552166,high_volatility,high_volatility,69.94999694824219,True
2008-10-11,-0.11043628055602311,25,0.08561091403682106,0.45160456193663545,normal,unknown,,False
2008-10-12,-0.10383694667369127,25,0.08889358078218502,0.4701032876287343,normal,unknown,,False
2008-10-13,0.06480408467065829,26,0.1308348847182431,2.041046166551001,normal,high_volatility,54.9900016784668,False
2008-10-14,-0.16901583041852483,26,0.13216362809844148,-0.455058185312665,elevated,high_volatility,55.130001068115234,False
2008-10-15,-0.04589200661016198,26,0.08845360860309606,0.7634243414112305,low_volatility,high_volatility,69.25,False
2008-10-16,-0.025583850112385474,26,0.08758117200491412,1.0385702156955823,low_volatility,high_volatility,67.61000061035156,False
2008-10-17,-0.07593513251492266,26,0.0846018235280779,0.4340724687338585,normal,high_volatility,70.33000183105469,False
2008-10-18,-0.18258181035518647,25,0.07181103648961723,-0.6859722030567447,elevated,unknown,,False
