,compound,positive,negative,cross_asset_std,sent_crypto,sent_equities,sent_forex,sent_news,sent_social,returns,realized_vol,vix,vix_change,ciss,ciss_change,te_proxy,sent_momentum,sent_acceleration,sent_dispersion,max_divergence,garch_vol,long_run_vol,regime
2009-03-13,-0.058244936,0.068978675,-0.12722361,0.27747193,0.0,-0.25444722,-0.6943738,0.13795735,0.0,0.007814932584665257,0.42578786773093896,42.36000061035156,0.02865469393955955,0.822,-0.020000000000000018,0.01571439405420956,0.41216028400000004,0.5603601440000001,0.35798423141155467,0.8148073640000001,0.03152860839880858,0.042238451829581046,high_volatility
2009-03-16,-0.33630738,0.0,-0.33630738,0.27747193,0.0,-0.33630738,-0.6943738,0.13795735,0.0,-0.0030229045439693625,0.4244535122951306,43.7400016784668,0.032577928428499714,0.8006,-0.021399999999999975,0.006135150653770597,-0.16966436999999998,-0.25241890999999994,0.08332214798740749,0.16664301,0.029085979094724927,0.042238451829581046,high_volatility
2009-03-17,-0.26426598,0.0,-0.26426598,0.27747193,0.0,-0.26426598,-0.6943738,0.13795735,0.0,0.03058252367264047,0.44023458333988125,40.79999923706055,-0.06721541674868325,0.7802,-0.020399999999999974,0.00754615912846959,-0.010285519999999992,-0.22981159999999995,0.13777087147577216,0.25398046,0.02677037444319056,0.042238451829581046,high_volatility
2009-03-18,-0.0004347662,0.09402308,-0.1749971,0.30303726,0.0,-0.3499942,-0.6943738,0.18804616,0.0,0.022384198359188145,0.4471981689170133,40.060001373291016,-0.018137202882527403,0.8297,0.04949999999999999,0.1647126937176208,0.3772372538,0.3124679338,0.33074136517903246,0.7272314538,0.027250846474161202,0.042238451829581046,high_volatility
2009-03-19,-0.0865092,0.0,-0.2707961,0.260621,0.0,-0.2707961,-0.6943738,0.18804616,0.0,-0.01238570231866798,0.42455247492770615,43.68000030517578,0.09036442355936392,0.8358,0.006099999999999994,0.1675522742277694,0.20809,0.1473833,0.2607333282565605,0.4788861,0.026435467765898703,0.042238451829581046,high_volatility
2009-03-20,-0.36474982,0.0,-0.36474982,0.260621,0.0,-0.36474982,-0.6943738,0.18804616,0.0,-0.021293802652856852,0.43070066401817564,45.88999938964844,0.05059521678187329,0.8388,0.0030000000000000027,0.18348037067711287,-0.306504884,-0.718665168,0.22305628804801936,0.41216028400000004,0.024868226063236396,0.042238451829581046,high_volatility
2009-03-23,-0.3166735,0.0,-0.3166735,0.260621,0.0,-0.3166735,-0.6943738,0.18804616,0.0,0.071828716861847,0.49361515564197345,43.22999954223633,-0.05796469563719664,0.8507,0.011900000000000022,0.16772035458172757,0.019633879999999992,0.18929824999999997,0.2575189520818561,0.5059717499999999,0.02450970354520237,0.042238451829581046,high_volatility
2009-03-24,-0.35111362,0.0,-0.35111362,0.260621,0.0,-0.35111362,-0.6943738,0.18804616,0.0,-0.019702990462077796,0.49785762975022285,42.93000030517578,-0.006939607685339966,0.8397,-0.01100000000000001,0.24398185720181828,-0.08684764,-0.07656212000000001,0.15562820345258804,0.2745515,0.03599495211169579,0.042238451829581046,high_volatility
2009-03-25,-0.41513208,0.0,-0.41513208,0.260621,0.0,-0.41513208,-0.6943738,0.18804616,0.0,0.010545991616396577,0.47932512958177304,42.25,-0.015839746106263042,0.8245,-0.015199999999999991,0.3758600374123606,-0.4146973138,-0.7919345676,0.21767263238548634,0.3772372538,0.03405908450220273,0.042238451829581046,high_volatility
2009-03-26,-0.24884088,0.0,-0.379814195,0.22894746,0.0,-0.34891254,-0.6943738,-0.41071585,0.0,0.020380146656696185,0.4683064502977977,40.36000061035156,-0.04473371336446008,0.8139,-0.010600000000000054,0.38548413653847524,-0.16233167999999998,-0.37042168,0.11019470408153816,0.24838417000000002,0.031507305297928105,0.042238451829581046,high_volatility
